id,machine_tag,title,inscription,latitude,longitude,as_wkt,country,area,address,erected,main_photo,colour,organisations,language,series,series_ref,geolocated?,photographed?,number_of_subjects,number_of_male_subjects,number_of_female_subjects,number_of_inanimate_subjects,lead_subject_id,lead_subject_machine_tag,lead_subject_name,lead_subject_surname,lead_subject_sex,lead_subject_born_in,lead_subject_died_in,lead_subject_type,lead_subject_roles,lead_subject_primary_role,lead_subject_wikipedia,lead_subject_dbpedia,lead_subject_image,subjects
10024,openplaques:id=10024,Blue plaque № 10024,Site of the Roman pottery of Sulloniacae c.65-160 AD,51.62802,-0.29995,POINT(-0.29995 51.62802),United Kingdom,London,"Brockley Hill, Stanmore","",https://commons.wikimedia.org/wiki/Special:FilePath/Sulloniacis_plaque_2.jpg?width=640,blue,[],English,"",,true,true,0,0,0,0,"","","","","","","","",[],"","","","",[]
10026,openplaques:id=10026,Manny Shinwell plaque,Manny Shinwell (1884–1986) politician,51.51785,-0.07451,POINT(-0.07451 51.51785),United Kingdom,London,"Brune House, Toynbee Street, E1","","","","[""Tower Hamlets Environment Trust""]",English,"",,true,false,1,1,0,0,6827,openplaques:subject:id=6827,Manny Shinwell,Shinwell,male,1884,1986,man,"[""politician"", ""Companion of Honour"", ""Member of Parliament"", ""Member of Parliament"", ""Member of Parliament"", ""Member of Parliament"", ""Privy Counsellor"", ""Baron Shinwell""]","",https://en.wikipedia.org/wiki/Manny_Shinwell,http://dbpedia.org/resource/Manny_Shinwell,https://commons.wikimedia.org/wiki/Special:FilePath/Manny_Shinwell_1.jpg?width=640,"[""Manny Shinwell|(1884-1986)|man|politician, Companion of Honour, Member of Parliament, Member of Parliament, Member of Parliament, Member of Parliament, Privy Counsellor, and Baron Shinwell""]"
10027,openplaques:id=10027,George Meredith and Kingston Lodge green plaque,Site of former Kingston Lodge home of novelist George Meredith from 1865 to 1868,51.41176,-0.29016,POINT(-0.29016 51.41176),United Kingdom,London,"Buick House, London Road, Norbiton","",https://commons.wikimedia.org/wiki/Special:FilePath/George_Meredith_green_plaque.jpg?width=640,green,[],English,"",,true,true,2,2,0,1,6825,openplaques:subject:id=6825,George Meredith,Meredith,male,1828,1909,man,"[""novelist"", ""poet"", ""Order of Merit recipient""]","",https://en.wikipedia.org/wiki/George_Meredith,http://dbpedia.org/resource/George_Meredith,https://commons.wikimedia.org/wiki/Special:FilePath/George_Meredith_by_George_Frederic_Watts.jpg?width=640,"[""George Meredith|(1828-1909)|man|novelist, poet, and Order of Merit recipient"", ""Kingston Lodge||place|lodge""]"
10028,openplaques:id=10028,George Meredith blue plaque,George Meredith OM 1828-1909 poet and novelist lived here,51.4836,-0.17938,POINT(-0.17938 51.4836),United Kingdom,London,"7 Hobury Street, SW10","",https://commons.wikimedia.org/wiki/Special:FilePath/George_Meredith_O.M._1828-1909_Poet_and_novelist_lived_here.JPG?width=640,blue,"[""Greater London Council""]",English,"",,true,true,1,1,0,0,6825,openplaques:subject:id=6825,George Meredith,Meredith,male,1828,1909,man,"[""novelist"", ""poet"", ""Order of Merit recipient""]","",https://en.wikipedia.org/wiki/George_Meredith,http://dbpedia.org/resource/George_Meredith,https://commons.wikimedia.org/wiki/Special:FilePath/George_Meredith_by_George_Frederic_Watts.jpg?width=640,"[""George Meredith|(1828-1909)|man|novelist, poet, and Order of Merit recipient""]"
10031,openplaques:id=10031,George Edgar Alcock plaque,"This corner is dedicated to the memory of George Edgar Alcock (1902-1975) who lived in Christchurch Park, and played a leading part in saving its almost unique avenue of copper beeches. This led to the formation in 1959 of the Sutton & Cheam Society, of which he was the honorary secretary until 1973. In 1974 he received the Manor of Sutton award. The price of amenity is unceasing vigilance.",51.35473,-0.1917,POINT(-0.1917 51.35473),United Kingdom,London,"Corner of Christchurch Park and Brighton Road, Sutton","","","",[],English,"",,true,false,1,1,0,0,6823,openplaques:subject:id=6823,George Edgar Alcock,Alcock,male,1902,1975,man,"[""honorary secretary of the Sutton & Cheam Society""]",honorary secretary of the Sutton & Cheam Society,,,"","[""George Edgar Alcock|(1902-1975)|man|honorary secretary of the Sutton & Cheam Society""]"
10034,openplaques:id=10034,Nellie Melba blue plaque,Dame Nellie Melba 1861-1931 Operatic Soprano resided here in 1906,51.41639,-0.25399,POINT(-0.25399 51.41639),United Kingdom,London,"Coombe House, Devey Close, Coombe","",https://farm1.staticflickr.com/698/23508155922_76e724200c_z.jpg,blue,"[""English Heritage""]",English,"",,true,true,1,0,1,0,2284,openplaques:subject:id=2284,Nellie Melba,Melba,female,1861,1931,woman,"[""Australia's Queen of Song"", ""wife of Charles Nesbitt Frederick Armstrong"", ""Dame Commander of the Most Excellent Order of the British Empire"", ""Dame Grand Cross of the Most Excellent Order of the British Empire""]","",https://en.wikipedia.org/wiki/Nellie_Melba,http://dbpedia.org/resource/Nellie_Melba,https://commons.wikimedia.org/wiki/Special:FilePath/Nellie_Melba_by_Henry_Walter_Barnett.jpg?width=640,"[""Nellie Melba|(1861-1931)|woman|Australia's Queen of Song, wife of Charles Nesbitt Frederick Armstrong, Dame Commander of the Most Excellent Order of the British Empire, and Dame Grand Cross of the Most Excellent Order of the British Empire""]"
10035,openplaques:id=10035,John Williams blue plaque,Near this site was born on June 29th 1796 John Williams missionary and shipbuilder martyred at Erromanga South West Pacific November 20th 1839,51.58812,-0.07066,POINT(-0.07066 51.58812),United Kingdom,London,"Cooke Estate, 316 Tottenham High Road, N15","",https://commons.wikimedia.org/wiki/Special:FilePath/Near_this_site_was_born_on_June_29th_1796_John_Williams_missionary_and_shipbuilder.jpg?width=640,blue,"[""London Missionary Society""]",English,"",,true,true,1,1,0,0,3954,openplaques:subject:id=3954,John Williams,Williams,male,1796,1839,man,"[""missionary""]",missionary,https://en.wikipedia.org/wiki/John_Williams_(missionary),http://dbpedia.org/resource/John_Williams_(missionary),"https://commons.wikimedia.org/wiki/Special:FilePath/The_Rev._John_Williams,_the_Martyr_of_Erromanga,_with_a_landscape_of_the_Mission_House_and_grounds_of_Rarotonga.jpg?width=640","[""John Williams|(1796-1839)|man|missionary""]"
10036,openplaques:id=10036,Francis Ronalds stone plaque,The first electric telegraph 8 miles long was constructed here in 1816 by Sir Francis Ronalds FRS,51.49058,-0.23558,POINT(-0.23558 51.49058),United Kingdom,London,"Coach House, 26 Upper Mall, W6","",https://commons.wikimedia.org/wiki/Special:FilePath/The_first_electric_telegraph_8_miles_long_was_constructed_here_in_1816_by_Sir_Francis_Ronalds_F.R.S.jpg?width=640,stone,[],English,"",,true,true,1,1,0,0,6821,openplaques:subject:id=6821,Francis Ronalds,Ronalds,male,1788,1873,man,"[""Knight Bachelor"", ""meteorologist"", ""Fellow of the Royal Society"", ""inventor"", ""pioneer of electric telegraphy""]","",https://en.wikipedia.org/wiki/Francis_Ronalds,http://dbpedia.org/resource/Francis_Ronalds,https://commons.wikimedia.org/wiki/Special:FilePath/Sir_Francis_Ronalds_crop.jpg?width=640,"[""Francis Ronalds|(1788-1873)|man|Knight Bachelor, meteorologist, Fellow of the Royal Society, inventor, and pioneer of electric telegraphy""]"
10039,openplaques:id=10039,George Lansbury plaque,"39 Bow Road a tribute to George Lansbury who lived for 23 years in the house formerly on this site Mayor of Poplar, Member of Parliament, Minister of the Crown and Privy Councillor he was a great servant of the people of Bow",51.52668,-0.02738,POINT(-0.02738 51.52668),United Kingdom,London,"39 Bow Road, Bow, E3","",https://commons.wikimedia.org/wiki/Special:FilePath/39_Bow_Road_DSCN3435.jpg?width=640,"","[""Bow Council""]",English,"",,true,true,1,1,0,0,6820,openplaques:subject:id=6820,George Lansbury,Lansbury,male,1859,1940,man,"[""Member of Parliament"", ""Privy Counsellor""]","",https://en.wikipedia.org/wiki/George_Lansbury,http://dbpedia.org/resource/George_Lansbury,"https://commons.wikimedia.org/wiki/Special:FilePath/Photo_7_Council_1938,_WRI_George_Lansbury_head_crop.jpg?width=640","[""George Lansbury|(1859-1940)|man|Member of Parliament and Privy Counsellor""]"
10040,openplaques:id=10040,Decimus Burton and Tivoli Lodge green plaque,Tivoli Lodge 1830 built 1830 by Decimus Burton. The entrance lodge to Royal Beulah Spa and Pleasure Gardens,51.41346,-0.0912,POINT(-0.0912 51.41346),United Kingdom,London,"39 Beulah Hill, Upper Norwood, SE19","","",green,"[""London Borough of Croydon""]",English,"",,true,false,2,2,0,1,4524,openplaques:subject:id=4524,Decimus Burton,Burton,male,1800,1881,man,"[""architect of Calverley New Town""]",architect of Calverley New Town,https://en.wikipedia.org/wiki/Decimus_Burton,http://dbpedia.org/resource/Decimus_Burton,https://commons.wikimedia.org/wiki/Special:FilePath/Decimus_Burton.png?width=640,"[""Decimus Burton|(1800-1881)|man|architect of Calverley New Town"", ""Tivoli Lodge|(1830-present)|place|lodge""]"
10042,openplaques:id=10042,Harry Vardon blue plaque,Harry Vardon professional golfer born May 9th 1870 lived in this house from 1903 until he died in 1937,51.63012,-0.17726,POINT(-0.17726 51.63012),United Kingdom,London,"35 Totteridge Lane, Whetstone, N20","","",blue,"[""London Borough of Barnet""]",English,"",,true,false,1,1,0,0,6818,openplaques:subject:id=6818,Harry Vardon,Vardon,male,1870,1937,man,"[""golfer""]",golfer,https://en.wikipedia.org/wiki/Harry_Vardon,http://dbpedia.org/resource/Harry_Vardon,https://commons.wikimedia.org/wiki/Special:FilePath/HarryVardon.jpg?width=640,"[""Harry Vardon|(1870-1937)|man|golfer""]"
10043,openplaques:id=10043,Harry Tate and Camden House red plaque,"Harry Tate (1872-1940) Near here stood Camden House, once home of Harry Tate from 1920-31. Born Ronald Hutchinson in Scotland in 1872, he adopted 'Tate' as a stage name. He became a music hall star successful in revue and silent films and was one of the first entertainers to broadcast.",51.3628,-0.19841,POINT(-0.19841 51.3628),United Kingdom,London,"27 Camden Road, Sutton","",https://lh4.googleusercontent.com/-Ymsx4OguXZg/TTDcdN73ofI/AAAAAAAABiA/dDp2YW3pm-0/s800/Heritage%20Plaque%20Harry%20Tate.jpg,red,"[""London Borough of Sutton""]",English,"",,true,true,2,2,0,1,6817,openplaques:subject:id=6817,Harry Tate,Tate,male,1872,1940,man,"[""music hall star"", ""entertainer"", ""one of the first entertainers to broadcast""]","",https://en.wikipedia.org/wiki/Harry_Tate,http://dbpedia.org/resource/Harry_Tate,"","[""Harry Tate|(1872-1940)|man|music hall star, entertainer, and one of the first entertainers to broadcast"", ""Camden House||place|house""]"
10044,openplaques:id=10044,Janet Johnson brown plaque,"Janet Johnson (1858-1955) Pioneer Welfare Worker Lived at 39 Redcross Way. She became the first woman Guardian of the Poor in Southwark in 1888, devoting her life to the condition of poor workhouse internees. She became manager of the Central London School for Orphans and Destitute Children at Hanwell, initiating humanitarian reforms with new ideas on education, clothing and diet.",51.50357,-0.09379,POINT(-0.09379 51.50357),United Kingdom,London,"39 Redcross Way, SE1","",https://farm66.staticflickr.com/65535/49682389583_5f60701a38_z.jpg,brown,"[""London Borough of Southwark""]",English,"",,true,true,1,0,1,0,6816,openplaques:subject:id=6816,Janet Johnson,Johnson,female,1858,1955,woman,"[""pioneer welfare worker"", ""manager of the Central London School for Orphans and Destitute Children at Hanwell"", ""first woman Guardian of the Poor in Southwark""]","",,,"","[""Janet Johnson|(1858-1955)|woman|pioneer welfare worker, manager of the Central London School for Orphans and Destitute Children at Hanwell, and first woman Guardian of the Poor in Southwark""]"
